timestamp,impl,op,load_factor,metric,value,unit,tag
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.01,mean,1662.424179,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.01,median,1635.628133,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.01,std_dev,464.895582,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.01,throughput_ops_per_sec,76995992.739698,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.25,mean,2008.291071,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.25,median,2370.313627,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.25,std_dev,787.450971,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.25,throughput_ops_per_sec,63735781.072244,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.50,mean,2116.155325,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.50,median,2407.567450,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.50,std_dev,772.374072,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.50,throughput_ops_per_sec,60487053.327360,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.75,mean,2754.766529,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.75,median,2816.684735,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.75,std_dev,783.765900,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,insert_marginal,0.75,throughput_ops_per_sec,46464917.684948,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.01,mean,2.728047,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.01,median,2.777204,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.01,std_dev,0.183286,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.01,throughput_ops_per_sec,366562587.595136,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.25,mean,2.900837,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.25,median,2.948013,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.25,std_dev,0.182345,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.25,throughput_ops_per_sec,344728072.467681,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.50,mean,3.003843,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.50,median,3.025279,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.50,std_dev,0.182389,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.50,throughput_ops_per_sec,332906825.462330,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.75,mean,3.446302,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.75,median,3.487811,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.75,std_dev,0.188400,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_hit,0.75,throughput_ops_per_sec,290166101.097089,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.01,mean,1.811236,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.01,median,1.854512,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.01,std_dev,0.119994,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.01,throughput_ops_per_sec,552109176.165440,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.25,mean,2.033985,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.25,median,2.044497,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.25,std_dev,0.125140,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.25,throughput_ops_per_sec,491645759.661782,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.50,mean,2.764585,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.50,median,2.816703,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.50,std_dev,0.170082,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.50,throughput_ops_per_sec,361717950.114504,ops/s,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.75,mean,8.701631,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.75,median,8.748859,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.75,std_dev,0.594478,ns,Baseline
2026-02-25T08:11:04.136202+00:00,m0_hashbrown,lookup_miss,0.75,throughput_ops_per_sec,114920978.560070,ops/s,Baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.01,mean,15331.944702,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.01,median,15331.944702,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.01,std_dev,321.278006,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.01,throughput_ops_per_sec,170950264.360967,ops/s,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.25,mean,272437.866211,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.25,median,272437.866211,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.25,std_dev,622.575756,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.25,throughput_ops_per_sec,240553932.210210,ops/s,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.50,mean,522813.804688,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.50,median,522813.804688,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.50,std_dev,17005.089447,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.50,throughput_ops_per_sec,250704933.237838,ops/s,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.75,mean,666359.863281,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.75,median,666359.863281,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.75,std_dev,15173.102835,ns,iter_baseline
2026-02-26T07:15:32.830413+00:00,m0_hashbrown,iter,0.75,throughput_ops_per_sec,295047782.487790,ops/s,iter_baseline
